results.date,b.1.617.2,ay.103,ay.119,ay.25,ay.3,ay.39,ay.44,other
2021-10-02,4.397532292269133,19.98264893001735,3.211875843454791,14.860227491806437,11.773664931559669,3.7266242529400424,15.482938114517061,26.56448814343551
2021-10-03,4.305351100235151,19.903645783547137,3.1735714149157856,14.944462500238975,11.897069225916226,3.779608847764162,15.479763702754893,26.51652742462768
2021-10-04,4.326876931641487,20.175455435471175,3.1693317720231122,14.712149425066706,11.871076728159254,3.7816981168295163,15.631658764133375,26.33175282667537
2021-10-05,4.436148642246689,20.028045706922367,3.208201474294594,14.608402342195523,11.720452521271154,3.7312160087927078,15.667696272573952,26.59983703170302
2021-10-06,4.48480920977395,20.352228109632904,3.3107155109975985,14.493195593336635,11.575115312773987,3.7643426218884612,15.76640109785385,26.253192543742614
2021-10-07,4.511078678519305,20.65998218313463,3.2714797475312274,14.49800034117402,11.52599556473777,3.7604958395723953,15.792566197236491,25.980401448094163
2021-10-08,4.340376927470017,20.734818199124312,3.4532648010660583,14.477441462021702,11.486769465067582,3.794022463354274,15.695792880258901,26.01751380163716
2021-10-09,4.396687323516592,20.80466958515739,3.519244982659617,14.533704777607218,11.471184641916349,3.7940379403794036,15.5949741315595,25.885496617203934
2021-10-10,4.458972901269661,20.812961910176234,3.498199734697745,14.523403448929315,11.464847451203335,3.8032973280272877,15.563767292021979,25.874549933674434
2021-10-11,4.371102369759186,21.003549841696252,3.6016501966804184,14.544756787872974,11.405545428379545,3.8280725319006046,15.561738463014487,25.683584380696534
2021-10-12,4.3282002117163,21.123694249705395,3.683064693310963,14.472606707012602,11.380749795274332,3.8448479038088963,15.790840274032794,25.375996165138716
2021-10-13,4.358447957298297,21.100390063641964,3.6070622048860606,14.372818723054815,11.439129542188462,3.6973927324984603,15.943338123588585,25.481420652843354
2021-10-14,4.25325346002892,21.039041520347034,3.5942986986159884,14.249122082214418,11.332369345176616,3.7388969221235273,16.256971700061968,25.536046271431523
2021-10-15,4.254532001479838,21.206889464381142,3.5105027335881944,14.187939326674066,11.283758786533483,3.7078143626423317,16.376865211493403,25.471698113207548
2021-10-16,4.167539705820727,21.292377320538073,3.541046808867284,14.254284876168127,11.297825084859406,3.727527972174496,16.37472237354901,25.34467585802288
2021-10-17,4.103657886317585,21.39490242081689,3.5683054281753224,14.209235363122533,11.193345419643808,3.7240055454836303,16.374106857203795,25.43244107923643
2021-10-18,4.086026089180662,21.314690084406173,3.4742944837582055,14.314945860687184,11.181686418279478,3.791883366015858,16.459203683178444,25.377270014493984
2021-10-19,3.9646545299691263,21.6565527520494,3.4621526668795912,14.306398381773663,11.225380602576388,3.807090386458001,16.584690727137232,24.99307995315661
2021-10-20,3.895491012055429,21.581792440688144,3.481487837316058,14.256295851387875,11.220987601355699,3.8997812003946972,16.87116564417178,24.79299841263031
2021-10-21,4.085102672537821,21.611370275101365,3.5684701573876274,14.234642717007457,11.228582639403584,3.9564895147578145,16.5758381654096,24.73950385839473
2021-10-22,4.243692850060592,21.610664316404097,3.5584444199625427,14.23598105100804,11.336344607249089,4.023355734273437,16.824942161507103,24.166574859535086
2021-10-23,4.3070593330446085,21.66955391944565,3.4950194889562587,14.194456474664358,11.346903421394543,4.068860978778693,16.881766998700737,24.03637938501516
2021-10-24,4.323231454197407,21.788226184586925,3.542468758737874,14.204288817671475,11.328587099133202,4.095240143677543,16.98320177230981,23.734755769685755
